Time_s,Time_ms,Voltage_Raw_V,Voltage_Filtered_V
0.000024500,0.024500,0.194600,0.194672
0.000024625,0.024625,0.195200,0.195176
0.000024750,0.024750,0.195800,0.195688
0.000024875,0.024875,0.196000,0.196203
0.000025000,0.025000,0.196600,0.196703
0.000025125,0.025125,0.197400,0.197200
0.000025250,0.025250,0.197800,0.197696
0.000025375,0.025375,0.198600,0.198170
0.000025500,0.025500,0.198800,0.198638
0.000025625,0.025625,0.199200,0.199209
0.000025750,0.025750,0.199600,0.199697
0.000025875,0.025875,0.200400,0.200141
0.000026000,0.026000,0.200600,0.200632
0.000026125,0.026125,0.201000,0.201187
0.000026250,0.026250,0.201200,0.201798
0.000026375,0.026375,0.201800,0.202460
0.000026500,0.026500,0.202000,0.203169
0.000026625,0.026625,0.202000,0.203891
0.000026750,0.026750,0.202400,0.204629
0.000026875,0.026875,0.202600,0.205345
0.000027000,0.027000,0.202800,0.206022
0.000027125,0.027125,0.203200,0.206623
0.000027250,0.027250,0.203400,0.207134
0.000027375,0.027375,0.203200,0.207523
0.000027500,0.027500,0.203000,0.207755
0.000027625,0.027625,0.202800,0.207767
0.000027750,0.027750,0.203000,0.207556
0.000027875,0.027875,0.203000,0.207105
0.000028000,0.028000,0.203000,0.206369
0.000028125,0.028125,0.202800,0.205329
0.000028250,0.028250,0.202800,0.203962
0.000028375,0.028375,0.202600,0.202254
0.000028500,0.028500,0.202600,0.200178
0.000028625,0.028625,0.202200,0.197721
0.000028750,0.028750,0.197600,0.194860
0.000028875,0.028875,0.198600,0.191565
0.000029000,0.029000,0.199000,0.187845
0.000029125,0.029125,0.195600,0.183711
0.000029250,0.029250,0.191200,0.179130
0.000029375,0.029375,0.185800,0.174103
0.000029500,0.029500,0.179400,0.168619
0.000029625,0.029625,0.172600,0.162703
0.000029750,0.029750,0.165400,0.156341
0.000029875,0.029875,0.157000,0.149543
0.000030000,0.030000,0.148400,0.142340
0.000030125,0.030125,0.139400,0.134734
0.000030250,0.030250,0.130200,0.126742
0.000030375,0.030375,0.120400,0.118431
0.000030500,0.030500,0.110400,0.109777
0.000030625,0.030625,0.100400,0.100798
0.000030750,0.030750,0.090800,0.091561
0.000030875,0.030875,0.080800,0.082079
0.000031000,0.031000,0.070400,0.072409
0.000031125,0.031125,0.060600,0.062589
0.000031250,0.031250,0.050200,0.052675
0.000031375,0.031375,0.040200,0.042707
0.000031500,0.031500,0.030200,0.032749
0.000031625,0.031625,0.020200,0.022836
0.000031750,0.031750,0.010600,0.013059
0.000031875,0.031875,0.000800,0.003451
0.000032000,0.032000,-0.008000,-0.006052
0.000032125,0.032125,-0.017200,-0.015245
0.000032250,0.032250,-0.026400,-0.024042
0.000032375,0.032375,-0.035000,-0.032527
0.000032500,0.032500,-0.043200,-0.040659
0.000032625,0.032625,-0.050800,-0.048433
0.000032750,0.032750,-0.058400,-0.055825
0.000032875,0.032875,-0.065200,-0.062812
0.000033000,0.033000,-0.071800,-0.069371
0.000033125,0.033125,-0.078200,-0.075490
0.000033250,0.033250,-0.083800,-0.081169
0.000033375,0.033375,-0.088800,-0.086392
0.000033500,0.033500,-0.094600,-0.091144
0.000033625,0.033625,-0.098400,-0.095415
0.000033750,0.033750,-0.101600,-0.099213
0.000033875,0.033875,-0.105400,-0.102526
0.000034000,0.034000,-0.108000,-0.105331
0.000034125,0.034125,-0.110200,-0.107631
0.000034250,0.034250,-0.111800,-0.109427
0.000034375,0.034375,-0.113200,-0.110715
0.000034500,0.034500,-0.114000,-0.111518
0.000034625,0.034625,-0.114400,-0.111829
0.000034750,0.034750,-0.113800,-0.111628
0.000034875,0.034875,-0.113600,-0.110982
0.000035000,0.035000,-0.112400,-0.109869
0.000035125,0.035125,-0.111000,-0.108335
0.000035250,0.035250,-0.108600,-0.106336
0.000035375,0.035375,-0.106800,-0.103928
0.000035500,0.035500,-0.103400,-0.101112
0.000035625,0.035625,-0.100200,-0.097972
0.000035750,0.035750,-0.096200,-0.094472
0.000035875,0.035875,-0.092200,-0.090631
0.000036000,0.036000,-0.087800,-0.086493
0.000036125,0.036125,-0.083000,-0.082065
0.000036250,0.036250,-0.078600,-0.077383
0.000036375,0.036375,-0.073200,-0.072478
0.000036500,0.036500,-0.067800,-0.067352
0.000036625,0.036625,-0.062200,-0.062056
0.000036750,0.036750,-0.056800,-0.056647
0.000036875,0.036875,-0.050800,-0.051107
0.000037000,0.037000,-0.044800,-0.045466
0.000037125,0.037125,-0.038800,-0.039758
0.000037250,0.037250,-0.032800,-0.034018
0.000037375,0.037375,-0.027200,-0.028256
0.000037500,0.037500,-0.021200,-0.022510
0.000037625,0.037625,-0.015200,-0.016785
0.000037750,0.037750,-0.009400,-0.011147
0.000037875,0.037875,-0.004800,-0.005593
0.000038000,0.038000,0.001400,-0.000144
0.000038125,0.038125,0.006600,0.005159
0.000038250,0.038250,0.012400,0.010299
0.000038375,0.038375,0.016800,0.015253
0.000038500,0.038500,0.021600,0.020000
0.000038625,0.038625,0.025200,0.024509
0.000038750,0.038750,0.031000,0.028791
0.000038875,0.038875,0.034800,0.032817
0.000039000,0.039000,0.038400,0.036575
0.000039125,0.039125,0.042000,0.040055
0.000039250,0.039250,0.045200,0.043256
0.000039375,0.039375,0.048200,0.046152
0.000039500,0.039500,0.050800,0.048733
0.000039625,0.039625,0.052600,0.050997
0.000039750,0.039750,0.055000,0.052953
0.000039875,0.039875,0.056800,0.054587
0.000040000,0.040000,0.058200,0.055907
0.000040125,0.040125,0.059600,0.056910
0.000040250,0.040250,0.059800,0.057604
0.000040375,0.040375,0.060600,0.057989
0.000040500,0.040500,0.060400,0.058067
0.000040625,0.040625,0.060400,0.057841
0.000040750,0.040750,0.059000,0.057339
0.000040875,0.040875,0.058800,0.056557
0.000041000,0.041000,0.057200,0.055501
0.000041125,0.041125,0.055800,0.054153
0.000041250,0.041250,0.053800,0.052579
0.000041375,0.041375,0.051800,0.050762
0.000041500,0.041500,0.049400,0.048745
0.000041625,0.041625,0.047400,0.046502
0.000041750,0.041750,0.044600,0.044075
0.000041875,0.041875,0.041800,0.041444
0.000042000,0.042000,0.038800,0.038698
0.000042125,0.042125,0.036000,0.035817
0.000042250,0.042250,0.032800,0.032813
0.000042375,0.042375,0.029200,0.029706
0.000042500,0.042500,0.026200,0.026521
0.000042625,0.042625,0.022600,0.023278
0.000042750,0.042750,0.019600,0.019969
0.000042875,0.042875,0.016000,0.016622
0.000043000,0.043000,0.012800,0.013283
0.000043125,0.043125,0.009000,0.009945
0.000043250,0.043250,0.005800,0.006629
0.000043375,0.043375,0.002400,0.003377
0.000043500,0.043500,-0.000800,0.000160
0.000043625,0.043625,-0.003800,-0.002970
0.000043750,0.043750,-0.007000,-0.006037
0.000043875,0.043875,-0.010400,-0.008985
0.000044000,0.044000,-0.013200,-0.011856
0.000044125,0.044125,-0.015800,-0.014584
0.000044250,0.044250,-0.018400,-0.017194
0.000044375,0.044375,-0.021000,-0.019656
0.000044500,0.044500,-0.023200,-0.021986
0.000044625,0.044625,-0.025400,-0.024148
0.000044750,0.044750,-0.027200,-0.026184
0.000044875,0.044875,-0.029200,-0.028026
0.000045000,0.045000,-0.030800,-0.029727
0.000045125,0.045125,-0.032200,-0.031251
0.000045250,0.045250,-0.033800,-0.032604
0.000045375,0.045375,-0.035000,-0.033777
0.000045500,0.045500,-0.035800,-0.034764
0.000045625,0.045625,-0.036800,-0.035588
0.000045750,0.045750,-0.037600,-0.036217
0.000045875,0.045875,-0.037400,-0.036665
0.000046000,0.046000,-0.037800,-0.036934
0.000046125,0.046125,-0.038200,-0.037047
0.000046250,0.046250,-0.037800,-0.036962
0.000046375,0.046375,-0.037400,-0.036730
0.000046500,0.046500,-0.037400,-0.036333
0.000046625,0.046625,-0.036600,-0.035791
0.000046750,0.046750,-0.036000,-0.035075
0.000046875,0.046875,-0.034600,-0.034225
0.000047000,0.047000,-0.034000,-0.033246
0.000047125,0.047125,-0.032600,-0.032146
0.000047250,0.047250,-0.031400,-0.030934
0.000047375,0.047375,-0.030000,-0.029596
0.000047500,0.047500,-0.028800,-0.028154
0.000047625,0.047625,-0.027000,-0.026629
0.000047750,0.047750,-0.026000,-0.024999
0.000047875,0.047875,-0.023400,-0.023310
0.000048000,0.048000,-0.022200,-0.021549
0.000048125,0.048125,-0.019600,-0.019728
0.000048250,0.048250,-0.017800,-0.017873
0.000048375,0.048375,-0.015800,-0.015970
0.000048500,0.048500,-0.013600,-0.014052
0.000048625,0.048625,-0.011800,-0.012119
0.000048750,0.048750,-0.009600,-0.010168
0.000048875,0.048875,-0.007800,-0.008235
0.000049000,0.049000,-0.006200,-0.006310
0.000049125,0.049125,-0.004000,-0.004404
0.000049250,0.049250,-0.001600,-0.002532
0.000049375,0.049375,-0.000400,-0.000717
0.000049500,0.049500,0.001600,0.001055
0.000049625,0.049625,0.003400,0.002771
0.000049750,0.049750,0.005400,0.004415
0.000049875,0.049875,0.006200,0.005990
0.000050000,0.050000,0.008200,0.007489
0.000050125,0.050125,0.009800,0.008919
0.000050250,0.050250,0.011000,0.010251
0.000050375,0.050375,0.012600,0.011491
0.000050500,0.050500,0.013400,0.012631
0.000050625,0.050625,0.014400,0.013659
0.000050750,0.050750,0.015600,0.014589
0.000050875,0.050875,0.015800,0.015404
0.000051000,0.051000,0.017000,0.016086
0.000051125,0.051125,0.017600,0.016679
0.000051250,0.051250,0.017800,0.017151
0.000051375,0.051375,0.018600,0.017520
0.000051500,0.051500,0.018600,0.017774
0.000051625,0.051625,0.018800,0.017926
0.000051750,0.051750,0.018800,0.017968
0.000051875,0.051875,0.018400,0.017907
0.000052000,0.052000,0.018400,0.017752
0.000052125,0.052125,0.017600,0.017480
0.000052250,0.052250,0.017600,0.017101
0.000052375,0.052375,0.017000,0.016633
0.000052500,0.052500,0.016600,0.016097
0.000052625,0.052625,0.016000,0.015448
0.000052750,0.052750,0.015400,0.014735
0.000052875,0.052875,0.014400,0.013943
0.000053000,0.053000,0.013600,0.013097
0.000053125,0.053125,0.012400,0.012175
0.000053250,0.053250,0.011400,0.011203
0.000053375,0.053375,0.010200,0.010201
0.000053500,0.053500,0.009200,0.009143
0.000053625,0.053625,0.008000,0.008066
0.000053750,0.053750,0.007200,0.006952
0.000053875,0.053875,0.005400,0.005811
0.000054000,0.054000,0.004600,0.004674
0.000054125,0.054125,0.003400,0.003502
0.000054250,0.054250,0.002200,0.002344
0.000054375,0.054375,0.000600,0.001193
0.000054500,0.054500,-0.000200,0.000048
0.000054625,0.054625,-0.001400,-0.001074
0.000054750,0.054750,-0.002800,-0.002191
0.000054875,0.054875,-0.003600,-0.003268
0.000055000,0.055000,-0.005000,-0.004315
0.000055125,0.055125,-0.006200,-0.005335
0.000055250,0.055250,-0.006800,-0.006313
0.000055375,0.055375,-0.007800,-0.007254
0.000055500,0.055500,-0.008600,-0.008145
0.000055625,0.055625,-0.009600,-0.008999
0.000055750,0.055750,-0.010000,-0.009792
0.000055875,0.055875,-0.011000,-0.010521
0.000056000,0.056000,-0.011400,-0.011183
0.000056125,0.056125,-0.012000,-0.011773
0.000056250,0.056250,-0.012800,-0.012301
0.000056375,0.056375,-0.013000,-0.012780
0.000056500,0.056500,-0.013800,-0.013189
0.000056625,0.056625,-0.013800,-0.013540
0.000056750,0.056750,-0.014200,-0.013819
0.000056875,0.056875,-0.014400,-0.014037
0.000057000,0.057000,-0.014400,-0.014181
0.000057125,0.057125,-0.014800,-0.014276
0.000057250,0.057250,-0.014600,-0.014289
0.000057375,0.057375,-0.014600,-0.014239
0.000057500,0.057500,-0.014600,-0.014130
0.000057625,0.057625,-0.014600,-0.013991
0.000057750,0.057750,-0.014200,-0.013780
0.000057875,0.057875,-0.013600,-0.013521
0.000058000,0.058000,-0.013600,-0.013214
0.000058125,0.058125,-0.013200,-0.012846
0.000058250,0.058250,-0.012800,-0.012446
0.000058375,0.058375,-0.012200,-0.011992
0.000058500,0.058500,-0.012000,-0.011507
0.000058625,0.058625,-0.011200,-0.010978
0.000058750,0.058750,-0.010200,-0.010411
0.000058875,0.058875,-0.009600,-0.009820
0.000059000,0.059000,-0.009000,-0.009199
0.000059125,0.059125,-0.008400,-0.008558
0.000059250,0.059250,-0.008200,-0.007900
0.000059375,0.059375,-0.007400,-0.007213
0.000059500,0.059500,-0.006400,-0.006539
0.000059625,0.059625,-0.005800,-0.005844
0.000059750,0.059750,-0.005000,-0.005158
0.000059875,0.059875,-0.004400,-0.004459
0.000060000,0.060000,-0.003600,-0.003781
0.000060125,0.060125,-0.002800,-0.003096
